Class,Wavelength (nm),Mean Reflectance,Std Reflectance
melanoma,700.0,0.90605766,0.14141987
nevus,400.0,0.40502766,0.12864485
nevus,410.0,0.45261422,0.12634024
nevus,420.0,0.4518975,0.13562806
nevus,430.0,0.43306023,0.125413
nevus,440.0,0.4102966,0.11863663
nevus,450.0,0.40229923,0.11438456
nevus,460.0,0.42053807,0.11254701
nevus,470.0,0.43355778,0.11602724
nevus,480.0,0.43795884,0.0914111
nevus,490.0,0.48649526,0.11249173
nevus,500.0,0.51665765,0.14411028
nevus,510.0,0.56842685,0.1478253
nevus,520.0,0.5963386,0.17066239
nevus,530.0,0.65247923,0.17922936
nevus,540.0,0.6896363,0.19605818
nevus,550.0,0.70373446,0.18895914
nevus,560.0,0.7127309,0.1817779
nevus,570.0,0.7539597,0.19903037
nevus,580.0,0.7764645,0.21276471
nevus,590.0,0.85143816,0.19162858
nevus,600.0,0.89124435,0.1941539
nevus,610.0,0.9376089,0.1961885
nevus,620.0,0.9755849,0.19282334
nevus,630.0,0.9121872,0.17163397
nevus,640.0,0.8534797,0.16202708
nevus,650.0,0.84531003,0.168659
nevus,660.0,0.84197456,0.17508966
nevus,670.0,0.8257727,0.14668149
nevus,680.0,0.8546334,0.15129054
nevus,690.0,0.8528756,0.16042064
nevus,700.0,0.839563,0.18234622
pigmented_benign_keratosis,400.0,0.4098909,0.08150519
pigmented_benign_keratosis,410.0,0.45369223,0.07939222
pigmented_benign_keratosis,420.0,0.4530594,0.084343284
pigmented_benign_keratosis,430.0,0.4298748,0.07861159
pigmented_benign_keratosis,440.0,0.4023038,0.07470234
pigmented_benign_keratosis,450.0,0.3901015,0.07339486
pigmented_benign_keratosis,460.0,0.39851016,0.074713886
pigmented_benign_keratosis,470.0,0.4031543,0.07675902
pigmented_benign_keratosis,480.0,0.40120924,0.061095856
pigmented_benign_keratosis,490.0,0.44776553,0.074257195
pigmented_benign_keratosis,500.0,0.4811656,0.095920295
pigmented_benign_keratosis,510.0,0.53514487,0.100093774
pigmented_benign_keratosis,520.0,0.5650348,0.11657466
pigmented_benign_keratosis,530.0,0.6148145,0.12723224
pigmented_benign_keratosis,540.0,0.64797986,0.14194673
pigmented_benign_keratosis,550.0,0.6583536,0.14062205
pigmented_benign_keratosis,560.0,0.6723765,0.13730942
pigmented_benign_keratosis,570.0,0.71195567,0.15575969
pigmented_benign_keratosis,580.0,0.7345157,0.17050155
pigmented_benign_keratosis,590.0,0.79404694,0.14687161
pigmented_benign_keratosis,600.0,0.82574934,0.1432611
pigmented_benign_keratosis,610.0,0.85828394,0.14600177
pigmented_benign_keratosis,620.0,0.8840458,0.14361663
pigmented_benign_keratosis,630.0,0.80907077,0.119817905
pigmented_benign_keratosis,640.0,0.7456631,0.10865177
pigmented_benign_keratosis,650.0,0.7411372,0.1171747
pigmented_benign_keratosis,660.0,0.7433678,0.12399849
pigmented_benign_keratosis,670.0,0.7379499,0.102307595
pigmented_benign_keratosis,680.0,0.78609854,0.11922622
pigmented_benign_keratosis,690.0,0.82093996,0.14581528
pigmented_benign_keratosis,700.0,0.8313078,0.1694981
scc,400.0,0.38865784,0.097147636
scc,410.0,0.42990384,0.09026871
scc,420.0,0.41643292,0.090931304
scc,430.0,0.39300048,0.08243393
scc,440.0,0.36505893,0.075601
scc,450.0,0.35011455,0.06971039
scc,460.0,0.35771343,0.06664373
scc,470.0,0.36172566,0.067197
scc,480.0,0.37472495,0.054364566
scc,490.0,0.41210184,0.06388742
scc,500.0,0.4285829,0.080706544
scc,510.0,0.48429173,0.083316036
scc,520.0,0.5073736,0.09805238
scc,530.0,0.55724937,0.1069277
scc,540.0,0.58235586,0.11845308
scc,550.0,0.5968673,0.11709139
scc,560.0,0.61462516,0.11778583
scc,570.0,0.6374623,0.1282048
scc,580.0,0.64112395,0.13805553
scc,590.0,0.72554225,0.12130379
scc,600.0,0.760836,0.120361105
scc,610.0,0.79334116,0.12192947
scc,620.0,0.8245738,0.12077285
scc,630.0,0.773389,0.10952153
scc,640.0,0.72062796,0.10560728
scc,650.0,0.7031668,0.10784196
scc,660.0,0.69527626,0.11323851
scc,670.0,0.7066196,0.10419663
scc,680.0,0.7362945,0.10673519
scc,690.0,0.7442687,0.11602853
scc,700.0,0.739145,0.13265993
seborrheic_keratosis,400.0,0.31526184,0.12498029
seborrheic_keratosis,410.0,0.368843,0.12041185
seborrheic_keratosis,420.0,0.3686342,0.126127
seborrheic_keratosis,430.0,0.3613903,0.11451361
seborrheic_keratosis,440.0,0.3508259,0.105771706
seborrheic_keratosis,450.0,0.35676864,0.10095095
seborrheic_keratosis,460.0,0.38650712,0.09799132
seborrheic_keratosis,470.0,0.4002925,0.100285456
seborrheic_keratosis,480.0,0.42014873,0.0818148
seborrheic_keratosis,490.0,0.45595682,0.09658775
seborrheic_keratosis,500.0,0.46901512,0.122633554
